,City,Price,Area,Rooms
358,Amsterdam,"€2,550",100 m²,4 rooms
359,Den,"€1,400",45 m²,2 rooms
360,Oss,"€1,014",55 m²,2 rooms
361,Horst,"€1,099",124 m²,3 rooms
362,Amsterdam,"€1,794",66 m²,2 rooms
363,Den,"€1,400",75 m²,2 rooms
364,Den,€821,23 m²,1 room
365,Den,€754,33 m²,2 rooms
366,Arnhem,"€1,600",110 m²,4 rooms
367,Amsterdam,"€2,750",76 m²,3 rooms
368,Den,"€2,400",117 m²,4 rooms
369,Groningen,"€1,400",55 m²,3 rooms
370,Utrecht,"€2,395",137 m²,5 rooms
371,Utrecht,"€2,450",108 m²,3 rooms
372,Haarlem,"€3,500",134 m²,6 rooms
373,Den,"€3,750",145 m²,5 rooms
374,Rotterdam,"€2,500",124 m²,4 rooms
375,Amsterdam,"€2,250",65 m²,2 rooms
376,Maastricht,"€1,067",80 m²,3 rooms
377,Den,€685,19 m²,1 room
378,Hilversum,€649,32 m²,2 rooms
379,Amsterdam,"€3,950",104 m²,3 rooms
380,Groningen,"€1,005",30 m²,2 rooms
381,Breda,"€2,170",131 m²,5 rooms
382,Amsterdam,"€2,250",71 m²,3 rooms
383,Zwolle,€636,30 m²,1 room
384,Amstelveen,"€2,750",69 m²,3 rooms
385,Amsterdam,"€4,500",223 m²,5 rooms
386,Zwolle,€470,20 m²,1 room
387,Zevenbergen,€446,100 m²,1 room
388,Emmen,€309,30 m²,2 rooms
389,Middelburg,"€1,195",95 m²,3 rooms
390,Amsterdam,"€2,650",116 m²,4 rooms
391,Breda,"€3,450",155 m²,4 rooms
392,Bennekom,€809,63 m²,2 rooms
393,Amsterdam,"€4,750",105 m²,5 rooms
394,Amsterdam,"€1,650",95 m²,3 rooms
395,Dordrecht,"€1,995",79 m²,3 rooms
396,Hoogvliet,"€1,240",151 m²,5 rooms
397,Den,"€1,850",120 m²,4 rooms
398,Rotterdam,"€2,295",84 m²,3 rooms
399,Deventer,€645,26 m²,1 room
